chunk,river,survey_id,date
2022-1,LM,LM_08_MVF_20220411_CS_MB_4917_4913,2022-04-11
2022-1,LM,LM_24_CARX_20220411_CS_840_842_SORT_LWRP,2022-04-11
2022-1,LM,LM_08_MVF_20220412_CS_MB_4913_4908,2022-04-12
2022-1,LM,LM_14_VBO_20220412_CS_5938_5906,2022-04-12
2022-1,LM,LM_23_OSCX_20220412_CS_788_793_SORT_LWRP,2022-04-12
2022-1,LM,LM_14_VBO_20220413_CS_5904_5874,2022-04-13
2022-1,LM,LM_14_VBO_20220414_CS_5872_5834,2022-04-14
2022-1,LM,LM_25_MADX_20220414_CS_898_902_SORT_LWRP,2022-04-14
2022-1,LM,LM_14_VBO_20220418_CS_5832_5810,2022-04-18
2022-1,LM,LM_12_EYB_20220419_CS_5658_5640,2022-04-19
2022-1,LM,LM_13_OZE_20220419_CS_5690_5658,2022-04-19
2022-1,LM,LM_08_MVF_20220420_CS_MB_4908_4902,2022-04-20
2022-1,LM,LM_12_EYB_20220420_CS_5638_5616,2022-04-20
2022-1,LM,LM_13_OZE_20220420_CS_5720_5688,2022-04-20
2022-1,LM,LM_08_MVF_20220421_CS_MB_4902_4898,2022-04-21
2022-1,LM,LM_13_OZE_20220421_CS_5740_5722,2022-04-21
2022-1,LM,LM_08_MVF_20220422_CS_MB_4898_4892,2022-04-22
2022-1,LM,LM_13_OZE_20220422_CS_5778_5742,2022-04-22
2022-1,LM,LM_08_MVF_20220423_CS_MB_4892_4887,2022-04-23
2022-1,LM,LM_13_OZE_20220423_CS_5810_5774,2022-04-23
2022-1,LM,LM_08_MVF_20220424_CS_MB_4887_4882,2022-04-24
2022-1,LM,LM_08_MVF_20220426_CS_MB_4882_4878,2022-04-26
2022-1,LM,LM_08_MVF_20220428_CS_MB_4878_4873,2022-04-28
2022-1,LM,LM_12_EYB_20220428_CS_5638_5586,2022-04-28
2022-1,LM,LM_12_EYB_20220429_CS_5584_5566,2022-04-29
2022-1,LM,LM_12_EYB_20220502_CS_5532_5502,2022-05-02
2022-1,LM,LM_12_EYB_20220502_CS_5564_5534,2022-05-02
2022-1,LM,LM_08_MVF_20220504_CS_MB_4873_4868,2022-05-04
2022-1,LM,LM_08_MVF_20220505_CS_MB_4868_4863,2022-05-05
2022-1,LM,LM_16_OVLX_20220505_CS_607_610_SORT_LWRP,2022-05-05
2022-1,LM,LM_16_OVLX_20220505_CS_610_614_SORT_LWRP,2022-05-05
2022-1,LM,LM_08_MVF_20220506_CS_MB_4863_4858,2022-05-06
2022-1,LM,LM_11_YBS_20220506_CS_5502_5474,2022-05-06
2022-2,LM,LM_08_MVF_20220507_CS_MB_4858_4853,2022-05-07
2022-2,LM,LM_08_MVF_20220508_CS_MB_4853_4848,2022-05-08
2022-2,LM,LM_16_OVLX_20220508_CS_610_614_SORT_LWRP,2022-05-08
2022-2,LM,LM_08_MVF_20220509_CS_MB_4845_4840,2022-05-09
2022-2,LM,LM_08_MVF_20220509_CS_MB_4848_4845,2022-05-09
2022-2,LM,LM_11_YBS_20220509_CS_5472_5434,2022-05-09
2022-2,LM,LM_11_YBS_20220510_CS_5440_5406,2022-05-10
2022-2,LM,LM_08_MVF_20220511_CS_MB_4840_4835,2022-05-11
2022-2,LM,LM_11_YBS_20220511_CS_5404_5376,2022-05-11
2022-2,LM,LM_08_MVF_20220512_CS_MB_4835_4830,2022-05-12
2022-2,LM,LM_11_YBS_20220512_CS_5376_5368,2022-05-12
2022-2,LM,LM_16_OVLX_20220512_CS_607_610_SORT_LWRP,2022-05-12
2022-2,LM,LM_08_MVF_20220518_CS_MB_4830_4820,2022-05-18
2022-2,LM,LM_13_OZE_20220518_CS_5742_5673,2022-05-18
2022-2,LM,LM_25_MADX_20220519_CS_885_SORT_LWRP,2022-05-19
2022-2,LM,LM_08_MVF_20220520_CS_MB_4820_4815,2022-05-20
2022-2,LM,LM_08_MVF_20220521_CS_MB_4815_4811,2022-05-21
2022-2,LM,LM_08_MVF_20220522_CS_MB_4811_4807,2022-05-22
2022-2,LM,LM_01_HBR_20220523_CS_5147_25,2022-05-23
2022-2,LM,LM_11_YBS_20220527_CS_5368_5336,2022-05-27
2022-2,LM,LM_10_SSL_20220531_CS_5334_5306,2022-05-31
2022-2,LM,LM_10_SSL_20220601_CS_5304_5262,2022-06-01
2022-2,LM,LM_10_SSL_20220602_CS_5264_5234,2022-06-02
2022-2,LM,LM_08_MVF_20220603_CS_4946_4786,2022-06-03
2022-2,LM,LM_09_LPM_20220603_CS_5234_5226,2022-06-03
2022-2,LM,LM_08_MVF_20220604_CS_4958_4948,2022-06-04
2022-2,LM,LM_09_LPM_20220604_CS_5224_5192,2022-06-04
2022-2,LM,LM_09_LPM_20220605_CS_5190_5156,2022-06-05
2022-2,LM,LM_08_MVF_20220613_CS_MB_4807_4803,2022-06-13
2022-2,LM,LM_09_LPM_20220613_CS_5172_5148,2022-06-13
2022-2,LM,LM_07_FMB_20220614_CS_4560_4530,2022-06-14
2022-2,LM,LM_08_MVF_20220614_CS_MB_4803_4800,2022-06-14
2022-2,LM,LM_09_LPM_20220614_CS_5166_5114,2022-06-14
2022-2,LM,LM_07_FMB_20220615_CS_4598_4562,2022-06-15
2022-2,LM,LM_09_LPM_20220615_CS_5134_5094,2022-06-15
2022-2,LM,LM_06_MBV_20220616_CS_4530_4494,2022-06-16
2022-2,LM,LM_07_FMB_20220616_CS_4638_4600,2022-06-16
2022-2,LM,LM_09_LPM_20220616_CS_5092_5062,2022-06-16
2022-2,LM,LM_06_MBV_20220617_CS_4492_4460,2022-06-17
2022-2,LM,LM_07_FMB_20220617_CS_4680_4640,2022-06-17
2022-2,LM,LM_09_LPM_20220617_CS_5084_5034,2022-06-17
2022-2,LM,LM_06_MBV_20220620_CS_4458_4434,2022-06-20
2022-2,LM,LM_07_FMB_20220620_CS_4706_4530,2022-06-20
2022-2,LM,LM_09_LPM_20220620_CS_5032_4998,2022-06-20
2022-2,LM,LM_06_MBV_20220621_CS_4470_4414,2022-06-21
2022-2,LM,LM_07_FMB_20220621_CS_4720_4682,2022-06-21
2022-2,LM,LM_09_LPM_20220621_CS_4996_4958,2022-06-21
2022-2,LM,LM_07_FMB_20220622_CS_4762_4722,2022-06-22
2022-2,LM,LM_09_LPM_20220622_CS_4992_4966,2022-06-22
2022-2,LM,LM_07_FMB_20220623_CS_4786_4764,2022-06-23
2022-2,LM,LM_03_KGC_20220627_CS_3820_3802,2022-06-27
2022-2,LM,LM_03_KGC_20220628_CS_3800_3742,2022-06-28
2022-2,LM,LM_03_KGC_20220629_CS_3784_3758,2022-06-29
2022-2,LM,LM_23_OSCX_20220629_CS_796_791_SORT_LWRP,2022-06-29
2022-2,LM,LM_03_KGC_20220630_CS_3770_3754,2022-06-30
2022-2,LM,LM_03_KGC_20220701_CS_3752_3742,2022-07-01
2022-2,LM,LM_22_RANX_20220705_CS_772_769_SORT_LWRP,2022-07-05
2022-2,LM,LM_03_KGC_20220706_CS_3740_3702,2022-07-06
2022-2,LM,LM_11_YBS_20220706_CS,2022-07-06
2022-2,LM,LM_19_MEMX_20220706_CS_714_720_SORT_LWRP,2022-07-06
2022-2,LM,LM_03_KGC_20220707_CS_3700_3660,2022-07-07
2022-2,LM,LM_19_MEMX_20220707_CS_739_744_SORT_ACTUALDEPTHS,2022-07-07
2022-2,LM,LM_19_MEMX_20220707_CS_739_744_SORT_LWRP,2022-07-07
2022-2,LM,LM_19_MEMX_20220708_CS_755_757_SORT_ACTUALDEPTH,2022-07-08
2022-2,LM,LM_19_MEMX_20220708_CS_755_757_SORT_LWRP,2022-07-08
2022-2,LM,LM_04_GGK_20220711_CS_3950_3932,2022-07-11
2022-2,LM,LM_05_VGG_20220711_CS_4240_4210,2022-07-11
2022-2,LM,LM_04_GGK_20220712_CS_3990_3898,2022-07-12
2022-2,LM,LM_05_VGG_20220712_CS_4414_4162,2022-07-12
2022-2,LM,LM_04_GGK_20220713_CS_4020_3868,2022-07-13
2022-2,LM,LM_05_VGG_20220713_CS_4396_4116,2022-07-13
2022-2,LM,LM_25_MADX_20220713_CS_899_902_SORT_ACTUALDEPTH,2022-07-13
2022-2,LM,LM_25_MADX_20220713_CS_899_902_SORT_LWRP,2022-07-13
2022-2,LM,LM_04_GGK_20220714_CS_4050_3820,2022-07-14
2022-3,LM,LM_05_VGG_20220714_CS_4354_4088,2022-07-14
2022-3,LM,LM_02_GCG_20220715_CS_3660_3634,2022-07-15
2022-3,LM,LM_04_GGK_20220715_CS_4076_4052,2022-07-15
2022-3,LM,LM_05_VGG_20220715_CS_4304_4076,2022-07-15
2022-3,LM,LM_01_GCB_20220716_CS_3206_3200,2022-07-16
2022-3,LM,LM_02_GCG_20220716_CS_3632_3454,2022-07-16
2022-3,LM,LM_05_VGG_20220716_CS_4280_4242,2022-07-16
2022-3,LM,LM_01_GCB_20220717_CS_3454_3208,2022-07-17
2022-3,LM,LM_02_GCG_20220717_CS_3598_3476,2022-07-17
2022-3,LM,LM_01_GCB_20220718_CS_3408_3226,2022-07-18
2022-3,LM,LM_02_GCG_20220718_CS_3568_3514,2022-07-18
2022-3,LM,LM_19_MEMX_20220718_CS_739_746_SORT_ACTUALDEPTH,2022-07-18
2022-3,LM,LM_19_MEMX_20220718_CS_739_746_SORT_LWRP,2022-07-18
2022-3,LM,LM_01_GCB_20220719_CS_3368_3228,2022-07-19
2022-3,LM,LM_18_FRIX_20220719_CS_651_653_SORT_ACTUALDEPTH,2022-07-19
2022-3,LM,LM_18_FRIX_20220719_CS_651_653_SORT_LWRP,2022-07-19
2022-3,LM,LM_18_FRIX_20220719_CS_653_651_SORT_LWRP,2022-07-19
2022-3,LM,LM_01_GCB_20220720_CS_3306_3266,2022-07-20
2022-3,LM,LM_16_OVLX_20220720_CS_607_610_SORT_ACTUALDEPTH,2022-07-20
2022-3,LM,LM_16_OVLX_20220720_CS_607_610_SORT_LWRP,2022-07-20
2022-3,LM,LM_16_OVLX_20220720_CS_610_607_SORT_LWRP,2022-07-20
2022-3,LM,LM_01_GCB_20220721_CS_3352_3308,2022-07-21
2022-3,LM,LM_19_MEMX_20220725_CS_739_740_SORT_ACTUALDEPTHS,2022-07-25
2022-3,LM,LM_19_MEMX_20220725_CS_739_740_SORT_LWRP,2022-07-25
2022-3,LM,LM_19_MEMX_20220804_CS_758_759_SORT_LWRP,2022-08-04
2022-3,LM,LM_19_MEMX_20220810_CS_733_739_SORT_LWRP,2022-08-10
2022-3,LM,LM_19_MEMX_20220811_CS_726_724_SORT_LWRP,2022-08-11
2022-3,LM,LM_15_CVB_20220815_CS,2022-08-15
2022-3,LM,LM_25_MADX_20220822_CS_902_899_SORT_LWRP,2022-08-22
2022-3,LM,LM_19_MEMX_20220901_CS_756_SORT_LWRP,2022-09-01
2022-3,LM,LM_19_MEMX_20220902_CS_743_739_SORT_LWRP,2022-09-02
2022-3,LM,LM_23_OSCX_20220903_CS_793_798_SORT_LWRP,2022-09-03
2022-3,LM,LM_11_YBS_20220907_CS,2022-09-07
2022-3,LM,LM_22_RANX_20220907_CS_781_778_SORT_LWRP,2022-09-07
2022-3,LM,LM_07_FMB_20220908_CS,2022-09-08
2022-3,LM,LM_19_MEMX_20220908_CS_743_SORT_LWRP,2022-09-08
2022-3,LM,LM_16_OVLX_20220913_CS_610_607_SORT_LWRP,2022-09-13
2022-3,LM,LM_23_OSCX_20220916_CS_792_790_SORT_LWRP,2022-09-16
2022-3,LM,LM_19_MEMX_20220918_CS_741_739_SORT_LWRP,2022-09-18
2022-3,LM,LM_25_MADX_20220920_CS_902_899_SORT_LWRP,2022-09-20
2022-3,LM,LM_08_MVF_20220921_CS,2022-09-21
2022-3,LM,LM_14_VBO_20220926_CS,2022-09-26
2022-3,LM,LM_26_HIKX_20220926_CS_921_919_SORT_LWRP,2022-09-26
2022-3,LM,LM_08_MVF_20220927_CS,2022-09-27
2022-3,LM,LM_22_RANX_20220927_CS_771_769_SORT_LWRP,2022-09-27
2022-3,LM,LM_19_MEMX_20220928_CS_739_745_SORT_LWRP,2022-09-28
2022-3,LM,LM_18_FRIX_20220929_CS_680_682_SORT_LWRP,2022-09-29
2022-3,LM,LM_18_FRIX_20220929_CS_709_711_SORT_LWRP,2022-09-29
2022-3,LM,LM_10_SSL_20221004_CS,2022-10-04
2022-3,LM,LM_18_FRIX_20221004_CS_663_SORT_LWRP,2022-10-04
2022-3,LM,LM_05_VGG_20221006_CS,2022-10-06
2022-3,LM,LM_11_YBS_20221007_CS,2022-10-07
2022-3,LM,LM_25_MADX_20221011_CS_886_884_ACTUALDEPTHS,2022-10-11
2022-3,LM,LM_25_MADX_20221011_CS_886_884_SORT_ACTUALDEPTH,2022-10-11
2022-3,LM,LM_08_MVF_20221026_CS,2022-10-26
