,ID
342,UM_SP_P04_20180810_CS_7590_7600
343,UM_03_UM3_20200226_CS
344,UM_20_MVR_19981021_CS_35783594_98A
345,UM_20_MVR_19981021_CS_35313546_98A
346,UM_18_MVR_20051005_CS_42674275_05F
347,UM_21_MVR_20140724_OT_3413_L
348,UM_SL_ILC_20221216_AD_1
349,UM_17_MVR_20101020_CS_44734481_10D
350,UM_21_MVR_20170815_AD_33063322_17B
351,UM_SP_P08_20170815_CS_6850_6860
352,UM_22_MVR_20190706_CS_30403070_19B
353,UM_16_MVR_20160308_CS_48154822_16A
354,UM_SP_P03_20191104_CS_8010_8020
355,UM_11_MVR_20140518_OT_6107_R
356,UM_SL_P26_20140805_BD_2
357,UM_12_MVR_20030723_CS_56055625_03B
358,UM_04_UM4_20241203_CS
359,UM_22_MVR_20130910_CS_30183021_13A
360,UM_SP_P03_20181017_CS_7980_7990
361,UM_18_MVR_20101104_CS_41344139_10D
362,UM_16_MVR_20240612_OT_4579_C
363,UM_13_MVR_20170404_CS_53205333_17A
364,UM_13_MVR_20110721_CS_52985308_11A
365,UM_13_MVR_20090429_CS_53895400_09A
366,UM_SP_P09_20150812_CS_6670_6680
367,UM_22_MVR_20190731_CS_32333243_19B
368,UM_11_MVR_20140518_OT_6120_L
369,UM_SP_P08_20221117_AD_6904_6908
370,UM_13_MVR_20240527_OT_5387_CR
371,UM_20_MVR_20000905_CS_34883516_00B
372,UM_18_MVR_20140623_OT_4247_L
373,UM_SP_P04_20200723_CS_7560_7570
374,UM_SL_PRC_20210525_OT_1
375,UM_SP_P01_20250421_CS_8490_8499
376,UM_20_MVR_20140904_OT_3595_L
377,UM_SP_P02_20241104_CS_8334_8344
378,UM_SL_P25_20250331_BD_3
379,UM_18_MVR_20040713_BD_42504265_04A
380,UM_17_MVR_20050419_CS_44704484_05A
381,UM_20_MVR_20250422_CS_34503460_25B
382,UM_SP_P02_20160407_CS_8210_8220
383,UM_01_UM1_20200320_CS
