,MileMarker,thresh_el,LAT,LON
237,466.0,57.06513524590164,32.604641,-91.146761
238,467.0,57.37860655737705,32.61796,-91.153119
239,468.0,57.69207786885246,32.632212,-91.15353
240,469.0,58.00554918032787,32.645066,-91.145866
241,470.0,58.31902049180327,32.655924,-91.134434
242,471.0,58.63249180327868,32.665124,-91.121078
243,472.0,58.94596311475409,32.671194,-91.105761
244,473.0,59.259434426229504,32.676398,-91.089678
245,474.0,59.572905737704914,32.683835,-91.075114
246,475.0,59.886377049180325,32.694816,-91.064144
247,476.0,60.199848360655736,32.70776,-91.056599
248,477.0,60.513319672131146,32.721977,-91.053986
249,478.0,60.82679098360656,32.731902,-91.065898
250,479.0,61.14026229508197,32.734144,-91.082577
251,480.0,61.45373360655738,32.734734,-91.099822
252,481.0,61.76720491803278,32.733376,-91.116669
253,482.0,62.08067622950819,32.73209,-91.133745
254,483.0,62.3941475409836,32.73784,-91.148949
255,484.0,62.78577981631574,32.750881,-91.156327
256,485.0,63.17741209164787,32.765365,-91.157811
257,486.0,63.56904436698,32.779803,-91.156752
258,487.0,63.96067664231213,32.794148,-91.154768
259,488.0,64.35230891764427,32.808523,-91.151739
260,489.0,64.7439411929764,32.822308,-91.146676
261,490.0,65.13557346830852,32.835173,-91.138429
262,491.0,65.52720574364066,32.845229,-91.126053
263,492.0,65.91883801897279,32.854285,-91.112897
264,493.0,66.31047029430492,32.863391,-91.099553
265,494.0,66.70210256963706,32.873401,-91.087017
266,495.0,67.09373484496919,32.884348,-91.075952
267,496.0,67.48536712030132,32.896862,-91.067225
268,497.0,67.87699939563345,32.911288,-91.064344
269,498.0,68.26863167096559,32.925583,-91.06675
270,499.0,68.66026394629772,32.937858,-91.075547
271,500.0,69.05189622162985,32.946205,-91.089678
272,501.0,69.44352849696199,32.951921,-91.105023
273,502.0,69.83516077229412,32.955079,-91.121984
274,503.0,70.22679304762624,32.958177,-91.138908
275,504.0,70.61842532295837,32.962559,-91.154862
276,505.0,71.01005759829052,32.975932,-91.160673
277,506.0,71.40168987362264,32.990443,-91.161663
278,507.0,71.79332214895477,33.00454,-91.158153
279,508.0,72.1849544242869,33.017921,-91.151586
280,509.0,72.57658669961904,33.032197,-91.151538
281,510.0,72.96821897495117,33.046262,-91.155961
282,511.0,73.3598512502833,33.060361,-91.159957
283,512.0,73.75148352561544,33.074344,-91.164637
284,513.0,74.14311580094757,33.08871,-91.167655
285,514.0,74.5347480762797,33.102102,-91.162678
286,515.0,74.92638035161183,33.110517,-91.148812
287,516.0,75.31801262694397,33.113704,-91.132058
288,517.0,75.7096449022761,33.115422,-91.115358
289,518.0,76.10127717760822,33.121679,-91.099675
290,519.0,76.49290945294035,33.133279,-91.089633
291,520.0,76.8845417282725,33.14748,-91.08443
292,521.0,77.27617400360462,33.16202,-91.08225
293,522.0,77.66780627893675,33.17649,-91.08173
294,523.0,78.0594385542689,33.19068,-91.0852
295,524.0,78.45107082960102,33.2043,-91.09127
296,525.0,78.84270310493315,33.2174,-91.09898
297,526.0,79.23433538026529,33.23029,-91.10746
298,527.0,79.62596765559742,33.24282,-91.11597
299,528.0,80.01759993092955,33.25516,-91.12457
300,529.0,80.40923220626168,33.26683,-91.13464
301,530.0,80.8008644815938,33.27815,-91.14563
302,531.0,81.19249675692595,33.28925,-91.15674
303,532.0,82.11136955755333,33.30052,-91.16747
304,533.0,82.63861008284859,33.31408,-91.17284
305,534.0,83.16585060814386,33.32693,-91.16505
306,535.0,83.69309113343911,33.3373,-91.15326
307,536.0,84.22033165873437,33.34784,-91.14134
308,537.0,84.74757218402962,33.35888,-91.13025
309,538.0,85.27481270932488,33.37031,-91.11946
310,539.0,85.80205323462015,33.38186,-91.10939
311,540.0,86.3292937599154,33.3963,-91.10973
312,541.0,86.85653428521066,33.41084,-91.11114
313,542.0,87.38377481050591,33.42523,-91.11294
314,543.0,87.91101533580118,33.43961,-91.11492
315,544.0,88.43825586109644,33.45378,-91.1191
316,545.0,88.96549638639169,33.46669,-91.12683
317,546.0,89.49273691168695,33.47815,-91.13746
318,547.0,90.0199774369822,33.488,-91.15002
319,548.0,90.54721796227747,33.49653,-91.1642
320,549.0,91.07445848757273,33.50469,-91.17837
321,550.0,91.60169901286798,33.51283,-91.19264
322,551.0,92.12893953816324,33.5215,-91.20653
323,552.0,92.65618006345849,33.53157,-91.21886
324,553.0,93.18342058875376,33.54396,-91.22757
325,554.0,93.71066111404902,33.55775,-91.23252
326,555.0,94.40623479640404,33.5679,-91.22174
327,556.0,94.57456795346378,33.56822,-91.2046
328,557.0,94.74290111052355,33.56795,-91.18731
329,558.0,94.9112342675833,33.5703,-91.17031
330,559.0,95.07956742464306,33.57731,-91.1552
331,560.0,95.24790058170281,33.58752,-91.143
332,561.0,95.41623373876257,33.59904,-91.13253
333,562.0,95.58456689582232,33.61331,-91.13067
334,563.0,95.75290005288208,33.62663,-91.1371
335,564.0,95.92123320994183,33.6356,-91.15057
336,565.0,96.0895663670016,33.644,-91.16474
337,566.0,96.25789952406134,33.65221,-91.17892
338,567.0,96.4262326811211,33.65686,-91.19527
339,568.0,96.59456583818086,33.65983,-91.21225
340,569.0,96.76289899524062,33.66943,-91.22485
341,570.0,96.93123215230037,33.68353,-91.22771
342,571.0,97.09956530936013,33.69535,-91.21881
343,572.0,97.26789846641988,33.70087,-91.2029
344,573.0,97.43623162347964,33.70172,-91.18549
345,574.0,97.60456478053939,33.70436,-91.16853
346,575.0,97.77289793759915,33.71281,-91.15482
347,576.0,97.9412310946589,33.72599,-91.14803
348,577.0,98.10956425171867,33.74025,-91.14511
349,578.0,98.27789740877841,33.75336,-91.13778
350,579.0,98.44623056583818,33.76437,-91.12641
351,580.0,98.61456372289793,33.77076,-91.11105
352,581.0,98.78289687995769,33.77296,-91.09388
353,582.0,98.95123003701744,33.77515,-91.0768
354,583.0,99.1195631940772,33.77791,-91.0598
355,584.0,99.28789635113696,33.78514,-91.04507
356,585.0,99.96802001088297,33.79917,-91.04385
357,586.0,100.47981051356922,33.81321,-91.04858
358,587.0,100.99160101625549,33.82592,-91.05678
359,588.0,101.50339151894174,33.83839,-91.06554
360,589.0,102.015182021628,33.85251,-91.06634
361,590.0,102.52697252431426,33.86641,-91.06127
362,591.0,103.03876302700051,33.8797,-91.05441
363,592.0,103.55055352968677,33.89112,-91.04379
364,593.0,104.06234403237302,33.90228,-91.03256
365,594.0,104.57413453505927,33.91409,-91.02257
366,595.0,105.08592503774554,33.92828,-91.01769
367,596.0,105.59771554043179,33.93914,-91.02956
368,597.0,106.10950604311805,33.94617,-91.045
369,598.0,106.62129654580431,33.95113,-91.06142
370,599.0,107.13308704849057,33.95584,-91.07796
371,600.0,107.64487755117682,33.967108,-91.08517
372,601.0,108.15666805386307,33.98012,-91.07742
373,602.0,108.66845855654933,33.98841,-91.06355
374,603.0,109.18024905923559,33.99269,-91.04699
375,604.0,109.69203956192185,33.99672,-91.03011
376,605.0,110.2038300646081,34.00385,-91.01497
377,606.0,110.71562056729437,34.01262,-91.00111
378,607.0,111.22741106998062,34.02014,-90.98621
379,608.0,111.73920157266687,34.02298,-90.96938
380,609.0,112.25099207535312,34.02122,-90.95205
381,610.0,112.76278257803938,34.02068,-90.93507
382,611.0,113.27457308072565,34.02173,-90.9174
