x,y,vessel_count
627970.4331893444,3458905.905745316,1
628045.4331893444,3423880.905745316,1
628045.4331893444,3423955.905745316,3
628045.4331893444,3424030.905745316,4
628045.4331893444,3424105.905745316,6
628045.4331893444,3424180.905745316,8
628045.4331893444,3424255.905745316,11
628045.4331893444,3424330.905745316,14
628045.4331893444,3424405.905745316,37
628045.4331893444,3424480.905745316,58
628045.4331893444,3424555.905745316,85
628045.4331893444,3424630.905745316,97
628045.4331893444,3424705.905745316,143
628045.4331893444,3424780.905745316,151
628045.4331893444,3424855.905745316,142
628045.4331893444,3424930.905745316,108
628045.4331893444,3425005.905745316,122
628045.4331893444,3425080.905745316,88
628045.4331893444,3425155.905745316,55
628045.4331893444,3425230.905745316,34
628045.4331893444,3425305.905745316,21
628045.4331893444,3425380.905745316,16
628045.4331893444,3425455.905745316,13
628045.4331893444,3425530.905745316,3
628045.4331893444,3425605.905745316,3
628045.4331893444,3425680.905745316,1
628045.4331893444,3427105.905745316,2
628045.4331893444,3427180.905745316,8
628045.4331893444,3427255.905745316,10
628045.4331893444,3427330.905745316,12
628045.4331893444,3427405.905745316,10
628045.4331893444,3427480.905745316,6
628045.4331893444,3427555.905745316,4
628045.4331893444,3427630.905745316,4
628045.4331893444,3427705.905745316,1
628045.4331893444,3428830.905745316,1
628045.4331893444,3428905.905745316,4
628045.4331893444,3428980.905745316,19
628045.4331893444,3429055.905745316,73
628045.4331893444,3429130.905745316,172
628045.4331893444,3429205.905745316,193
628045.4331893444,3429280.905745316,131
628045.4331893444,3429355.905745316,80
628045.4331893444,3429430.905745316,38
628045.4331893444,3429505.905745316,5
628045.4331893444,3457555.905745316,6
628045.4331893444,3457630.905745316,5
628045.4331893444,3457705.905745316,17
628045.4331893444,3457780.905745316,36
628045.4331893444,3457855.905745316,52
628045.4331893444,3457930.905745316,72
628045.4331893444,3458005.905745316,100
628045.4331893444,3458080.905745316,119
628045.4331893444,3458155.905745316,154
628045.4331893444,3458230.905745316,180
628045.4331893444,3458305.905745316,154
628045.4331893444,3458380.905745316,150
628045.4331893444,3458455.905745316,147
628045.4331893444,3458530.905745316,157
628045.4331893444,3458605.905745316,115
628045.4331893444,3458680.905745316,98
628045.4331893444,3458755.905745316,71
628045.4331893444,3458830.905745316,42
628045.4331893444,3458905.905745316,30
628045.4331893444,3458980.905745316,12
