file,flipped_at
LM_11_YBS_20160619_CS_MB_5363_5368,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160619_CS_MB_5358_5363,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160622_CS_MB_5353_5358,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160623_CS_MB_5348_5353,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160630_CS_MB_5343_5348,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160701_CS_MB_5338_5343,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160702_CS_MB_5333_5338,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160703_CS_MB_5328_5333,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160703_CS_MB_5323_5328,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160704_CS_MB_5318_5323,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160705_CS_MB_5313_5318,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160706_CS_MB_5308_5313,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160706_CS_MB_5303_5308,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160706_CS_MB_5298_5303,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160706_CS_MB_5293_5298,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160707_CS_MB_5290_5293,2026-09-21T21:19:48.175853+00:00
LM_10_SSL_20160625_CS_5284_5290,2026-09-21T21:19:48.175853+00:00
LM_10_SSL_20160626_CS_5254_5282,2026-09-21T21:19:48.175853+00:00
LM_10_SSL_20160627_CS_5234_5252,2026-09-21T21:19:48.175853+00:00
LM_09_LPM_20160723_CS_5202_5234,2026-09-21T21:19:48.175853+00:00
LM_09_LPM_20160724_CS_5158_5200,2026-09-21T21:19:48.175853+00:00
LM_09_LPM_20160725_CS_5126_5156,2026-09-21T21:19:48.175853+00:00
LM_09_LPM_20160726_CS_5087_5124,2026-09-21T21:19:48.175853+00:00
LM_09_LPM_20160727_CS_5048_5082,2026-09-21T21:19:48.175853+00:00
LM_09_LPM_20160728_CS_4998_5046,2026-09-21T21:19:48.175853+00:00
LM_09_LPM_20160729_CS_4976_4996,2026-09-21T21:19:48.175853+00:00
LM_09_LPM_20160803_CS_4958_4974,2026-09-21T21:19:48.175853+00:00
LM_08_MVF_20160719_CS_4922_4958,2026-09-21T21:19:48.175853+00:00
LM_08_MVF_20160720_CS_4890_4920,2026-09-21T21:19:48.175853+00:00
LM_08_MVF_20160721_CS_4876_4889,2026-09-21T21:19:48.175853+00:00
LM_08_MVF_20160726_CS_4846_4874,2026-09-21T21:19:48.175853+00:00
LM_08_MVF_20160727_CS_4820_4842,2026-09-21T21:19:48.175853+00:00
LM_08_MVF_20160728_CS_4786_4818,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160729_CS_4738_4786,2026-09-21T21:19:48.175853+00:00
LM_07_FMB_20160713_CS_MB_4718_4720,2026-09-21T21:19:48.175853+00:00
