ahp_mile,navd88_ft
817.1,221.5
817.0,221.4
816.9,221.2
816.8,221.2
816.7,221.2
816.6,221.2
816.5,221.1
816.4,221.0
816.3,220.9
816.2,220.8
816.1,220.7
816.0,220.5
815.9,220.5
815.8,220.3
815.7,220.1
815.6,219.8
815.5,219.6
815.4,219.4
815.3,219.4
815.2,219.4
815.1,219.4
815.0,219.4
814.9,219.4
814.8,219.4
814.7,219.4
814.6,219.3
814.5,219.3
814.4,219.3
814.3,219.3
814.2,219.3
814.1,219.2
814.0,219.2
813.9,219.2
813.8,219.2
813.7,219.1
813.6,219.1
813.5,219.1
813.4,219.1
813.3,219.1
813.2,219.1
813.1,219.1
813.0,219.0
812.9,219.0
812.8,219.0
812.7,218.9
812.6,218.9
812.5,218.8
812.4,218.8
812.3,218.8
812.2,218.79
812.1,218.7
812.0,218.7
811.9,218.7
811.8,218.5
811.7,218.5
811.6,218.5
811.5,218.5
811.4,218.5
811.3,218.4
811.2,218.3
811.1,218.3
811.0,218.3
810.9,218.2
810.8,218.2
810.7,218.2
810.6,218.2
810.5,218.2
810.4,218.2
810.3,218.2
810.2,218.2
810.1,218.2
810.0,218.2
809.9,218.2
809.8,218.1
809.7,218.1
809.6,218.1
809.5,218.0
809.4,218.0
809.3,217.9
809.2,217.9
809.1,217.9
809.0,217.9
808.9,217.8
808.8,217.7
808.7,217.7
808.6,217.6
808.5,217.5
808.4,217.3
808.3,217.3
808.2,217.2
808.1,217.2
808.0,217.1
807.9,216.9
807.8,216.7
807.7,216.4
807.6,216.2
807.5,215.8
807.4,215.7
807.3,215.6
807.2,215.5
807.1,215.4
807.0,215.2
806.9,215.0
806.8,215.0
806.7,215.0
806.6,215.0
806.5,215.0
806.4,215.0
806.3,215.0
806.2,215.0
806.1,214.9
806.0,214.9
805.9,214.9
805.8,214.8
805.7,214.8
805.6,214.79
805.5,214.79
805.4,214.79
805.3,214.79
805.2,214.79
805.1,214.79
805.0,214.7
804.9,214.7
804.8,214.7
804.7,214.7
804.6,214.7
804.5,214.7
804.4,214.7
804.3,214.7
804.2,214.6
804.1,214.59
804.0,214.59
803.9,214.59
803.8,214.4
803.7,214.3
803.6,214.2
803.5,214.1
803.4,214.1
803.3,214.1
803.2,213.9
803.1,213.89
803.0,213.6
802.9,213.4
802.8,213.4
802.7,213.4
802.6,213.3
802.5,213.3
802.4,213.3
802.3,213.2
802.2,213.2
802.1,213.2
802.0,213.2
801.9,213.2
801.8,213.2
801.7,213.2
801.6,213.2
801.5,213.2
801.4,213.2
801.3,213.2
801.2,213.2
801.1,213.2
801.0,213.2
800.9,213.2
800.8,213.2
800.7,213.2
800.6,213.2
800.5,213.2
800.4,213.2
800.3,213.2
800.2,213.2
800.1,213.2
800.0,213.2
799.9,213.2
799.8,213.1
799.7,213.1
799.6,213.1
799.5,213.1
799.4,213.1
799.3,213.0
799.2,213.0
799.1,213.0
799.0,213.0
798.9,212.91
798.8,212.71
798.7,212.61
798.6,212.61
798.5,212.61
798.4,212.61
798.3,212.6
798.2,212.5
798.1,212.5
798.0,212.4
797.9,212.4
797.8,212.3
797.7,212.2
797.6,212.2
797.5,212.2
797.4,212.2
797.3,212.2
797.2,212.2
797.1,212.19
797.0,212.1
796.9,212.1
796.8,212.1
796.7,212.1
796.6,212.1
796.5,211.91
796.4,211.91
796.3,211.8
796.2,211.7
796.1,211.7
796.0,211.7
795.9,211.6
795.8,211.51
795.7,211.21
795.6,210.91
795.5,210.9
795.4,210.9
795.3,210.9
795.2,210.7
795.1,210.5
795.0,210.41
794.9,210.41
794.8,210.41
794.7,210.41
794.6,210.41
794.5,210.41
794.4,210.41
794.3,210.41
794.2,210.41
794.1,210.41
794.0,210.31
793.9,210.3
793.8,210.2
793.7,210.2
793.6,210.2
793.5,210.1
793.4,210.1
793.3,210.1
793.2,210.1
793.1,210.1
793.0,210.0
792.9,210.0
792.8,209.9
792.7,209.9
792.6,209.9
792.5,209.9
792.4,209.9
792.3,209.7
792.2,209.6
792.1,209.6
792.0,209.5
791.9,209.5
791.8,209.5
791.7,209.41
791.6,209.21
791.5,209.21
791.4,209.01
791.3,209.01
791.2,208.91
791.1,208.71
791.0,208.71
790.9,208.71
790.8,208.71
790.7,208.61
790.6,208.51
790.5,208.41
790.4,208.41
790.3,208.4
790.2,208.4
790.1,208.4
790.0,208.3
789.9,208.3
789.8,208.3
789.7,208.1
789.6,208.1
789.5,207.9
789.4,207.9
789.3,207.81
789.2,207.81
789.1,207.7
