MileMarker,thresh_el,LAT,LON
604.0,109.86091969397816,33.99672,-91.03011
605.0,110.38886884200878,34.00385,-91.01497
606.0,110.49445867161491,34.01262,-91.00111
607.0,110.60004850122102,34.02014,-90.98621
608.0,111.02240781964552,34.02298,-90.96938
609.0,111.9727162861006,34.02122,-90.95205
610.0,112.71184509334347,34.02068,-90.93507
611.0,113.02861458216184,34.02173,-90.9174
612.0,113.23979424137409,34.0252,-90.9006
613.0,114.50687219664755,34.03742,-90.89298
614.0,115.03482134467816,34.05172,-90.89503
615.0,115.2460010038904,34.06542,-90.90094
616.0,116.0907196407394,34.07891,-90.90732
617.0,116.93543827758836,34.09093,-90.9166
618.0,117.04102810719448,34.10051,-90.92999
619.0,117.25220776640673,34.10953,-90.94342
620.0,117.46338742561898,34.12127,-90.95307
621.0,118.41369589207407,34.13553,-90.95093
622.0,118.83605521049856,34.14719,-90.94093
623.0,119.36400435852917,34.15649,-90.92752
624.0,120.10313316577202,34.16418,-90.91275
625.0,120.41990265459039,34.17349,-90.89942
626.0,121.3702111210455,34.18279,-90.88615
627.0,121.79257043946998,34.18822,-90.86989
628.0,122.00375009868222,34.19757,-90.85661
629.0,122.32051958750058,34.2089,-90.84559
630.0,123.79877720198631,34.22243,-90.83965
631.0,124.43231617962303,34.23663,-90.839
632.0,124.43231617962303,34.25126,-90.83643
633.0,124.44287516258365,34.26543,-90.8334
634.0,125.1714449868659,34.27579,-90.82266
635.0,125.48821447568426,34.27789,-90.80548
636.0,125.69939413489652,34.2776,-90.78801
637.0,125.91057379410876,34.27864,-90.77052
638.0,126.64970260135159,34.28597,-90.75694
639.0,127.38883140859447,34.29286,-90.7398
640.0,127.81119072701897,34.30825,-90.73951
641.0,128.0223703862312,34.32243,-90.74341
642.0,128.23355004544342,34.33392,-90.75387
643.0,128.65590936386792,34.3444,-90.76604
644.0,128.9726788526863,34.35839,-90.76858
645.0,128.9726788526863,34.36734,-90.75574
646.0,129.3950381711108,34.36611,-90.73863
647.0,129.3950381711108,34.36208,-90.72176
648.0,130.13416697835365,34.36454,-90.70467
649.0,130.45093646717203,34.36926,-90.68798
650.0,130.76770595599038,34.37496,-90.67201
651.0,130.97888561520264,34.38249,-90.6573
652.0,132.8795025481128,34.38288,-90.63978
653.0,133.95602379636998,34.38669,-90.62321
654.0,134.22181315874224,34.39339,-90.60758
655.0,134.31040961286632,34.40236,-90.59393
656.0,134.57619897523858,34.41502,-90.58453
657.0,135.1077776999831,34.42965,-90.58368
658.0,135.55075997060354,34.44402,-90.58207
659.0,136.08233869534803,34.458,-90.58621
660.0,136.52532096596846,34.47222,-90.58996
661.0,136.79111032834072,34.48648,-90.59077
662.0,137.05689969071298,34.50031,-90.58632
663.0,137.23409259896115,34.51419,-90.58062
664.0,137.43191551966896,34.52366,-90.56765
665.0,137.82756136108463,34.53176,-90.553
666.0,138.61885304391595,34.54476,-90.54434
667.0,139.60796764745507,34.55938,-90.54592
668.0,140.39925933028636,34.57161,-90.55228
669.0,141.09163955276375,34.58249,-90.5629
670.0,141.4872853941794,34.59322,-90.57433
671.0,141.78401977524115,34.60594,-90.58292
672.0,142.2884682230461,34.6195,-90.58868
673.0,142.77313437878027,34.63374,-90.587
674.0,142.97095729948808,34.64791,-90.58357
675.0,143.37649428693913,34.66125,-90.5769
676.0,144.7513635858585,34.67419,-90.56919
677.0,145.4536349543713,34.6887,-90.56864
678.0,146.1361240308133,34.70315,-90.56948
679.0,146.2350354911672,34.71758,-90.56834
680.0,146.2350354911672,34.73199,-90.56655
681.0,146.72959279293678,34.742,-90.55522
682.0,147.32306155506024,34.73959,-90.53822
683.0,148.01544177753766,34.73327,-90.52235
684.0,148.6188016856965,34.7252,-90.50768
685.0,148.71771314605041,34.72414,-90.4902
686.0,148.80673346036895,34.72677,-90.47295
687.0,148.91553606675825,34.73213,-90.45669
688.0,149.50271342313397,34.7445,-90.44826
689.0,149.9131700556448,34.7582,-90.4519
